"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 18 19:45:39 GMT 2025","Tue Feb 18 19:45:40 GMT 2025","1396","tests","test_mini_bag","TestMiniBag","","","test_not_valid_discount_code","Can not apply the wrong discount code"
"passed","Tue Feb 18 19:45:40 GMT 2025","Tue Feb 18 19:45:44 GMT 2025","3786","tests","test_mini_bag","TestMiniBag","","","test_restore_product","Can restore product in the mini bag"
"passed","Tue Feb 18 19:45:46 GMT 2025","Tue Feb 18 19:45:49 GMT 2025","2888","tests","test_mini_bag","TestMiniBag","","","test_delete_product","Can delete product from the mini bag"
"passed","Tue Feb 18 19:45:44 GMT 2025","Tue Feb 18 19:45:46 GMT 2025","2147","tests","test_mini_bag","TestMiniBag","","","test_delivery_info_sheet","Can open and close the delivery info sheet"
"passed","Tue Feb 18 19:45:34 GMT 2025","Tue Feb 18 19:45:39 GMT 2025","5139","tests","test_mini_bag","TestMiniBag","","","test_select_product_quantity","Can change a product quantity"
"passed","Tue Feb 18 19:45:49 GMT 2025","Tue Feb 18 19:45:50 GMT 2025","769","tests","test_mini_bag","TestMiniBag","","","test_close_mini_bag","Can close the mini bag"
